accession,title,description,link,number_of_samples,platform,platform_raw,is_oxford_nanopore,organism,study_accession
29869159,,,https://www.ncbi.nlm.nih.gov/sra/?term=29869159,1,unknown,,False,,
29869158,,,https://www.ncbi.nlm.nih.gov/sra/?term=29869158,1,unknown,,False,,
29869151,,,https://www.ncbi.nlm.nih.gov/sra/?term=29869151,1,unknown,,False,,
29869150,,,https://www.ncbi.nlm.nih.gov/sra/?term=29869150,1,unknown,,False,,
29869149,,,https://www.ncbi.nlm.nih.gov/sra/?term=29869149,1,unknown,,False,,
29869144,,,https://www.ncbi.nlm.nih.gov/sra/?term=29869144,1,unknown,,False,,
29869160,,,https://www.ncbi.nlm.nih.gov/sra/?term=29869160,1,unknown,,False,,
29869157,,,https://www.ncbi.nlm.nih.gov/sra/?term=29869157,1,unknown,,False,,
29869156,,,https://www.ncbi.nlm.nih.gov/sra/?term=29869156,1,unknown,,False,,
29869155,,,https://www.ncbi.nlm.nih.gov/sra/?term=29869155,1,unknown,,False,,
29869154,,,https://www.ncbi.nlm.nih.gov/sra/?term=29869154,1,unknown,,False,,
